C,test,train
0.01,0.9038043478260869,0.9029891304347826
0.1,0.8823369565217393,0.8869565217391304
1.0,0.8527173913043479,0.8586277173913043
10.0,0.8144021739130436,0.809375
100.0,0.7671195652173912,0.7625679347826086
1000.0,0.7894021739130435,0.7918478260869565
10000.0,0.7625,0.7631114130434782
100000.0,0.8100543478260869,0.8106657608695652
1000000.0,0.7817934782608696,0.7810461956521739
10000000.0,0.7502717391304349,0.7480978260869565
100000000.0,0.8432065217391305,0.8393342391304348
1000000000.0,0.7671195652173913,0.7768342391304348
10000000000.0,0.8057065217391305,0.8072690217391305
