gamma,test,train
1e-09,0.7510464689661241,0.7510464592650686
1e-08,0.7510464689661241,0.7510464592650686
1e-07,0.7510464689661241,0.7510464592650686
1e-06,0.7510464689661241,0.7510464592650686
1e-05,0.751543758070697,0.7517406449015953
0.0001,0.8248162806149777,0.826080646601193
0.001,0.8425958817575147,0.8444506490355084
0.01,0.8459529481725742,0.8613804871232711
0.1,0.8236148263599292,0.8884122965683885
1.0,0.8057938087892907,0.9212151733286993
10.0,0.7750842787386582,0.9540905202422396
100.0,0.7598324880234347,0.9694869372513913
1000.0,0.7549008760094074,0.9799411747226442
