n_neighbors,train,test
1,0.9997961956521738,0.8320652173913043
4,0.886820652173913,0.8157608695652174
7,0.8722826086956521,0.8220108695652174
10,0.8544836956521739,0.8160326086956522
13,0.8466032608695653,0.8141304347826086
16,0.8345788043478262,0.8070652173913044
19,0.8283288043478262,0.8073369565217392
22,0.8243885869565217,0.8027173913043478
25,0.820788043478261,0.801358695652174
28,0.817459239130435,0.7956521739130433
31,0.8156929347826086,0.7926630434782609
34,0.8110733695652176,0.7869565217391304
37,0.8075407608695653,0.7891304347826086
40,0.8061141304347826,0.7872282608695651
43,0.8046195652173912,0.7855978260869565
46,0.8023777173913043,0.7872282608695652
49,0.799796195652174,0.789945652173913
