KNN__n_neighbors,train,test
1,0.9999689172853687,0.7880560190895126
4,0.8728812064035244,0.8166108472313015
7,0.8638153702639009,0.8240293856556009
10,0.8537237680417478,0.8248992680421334
13,0.85105063096601,0.8274688212140046
16,0.8467093277300712,0.8271786142499391
19,0.845735396588343,0.8283395108044024
22,0.8435077877261644,0.8279250030323816
25,0.8421608618618205,0.8297897899445156
28,0.8417774947834415,0.8304527275869434
31,0.8418189434127124,0.8306601360439068
34,0.840876108941383,0.830825939152715
37,0.8406688990741659,0.8315718642222988
40,0.840244100542845,0.8308672353589642
43,0.8396742285885143,0.8315302245250432
46,0.839311607295182,0.8322763041655798
49,0.839498121832819,0.8321934541348266
