Model Timing Curve: boositng timing n_estimators - n_estimators - spam,test,train
1,0.0004759999992529629,0.04606399999829591
2,0.0006880000000819564,0.09135199999946053
5,0.0013760000001639128,0.2170029999997496
10,0.0024990000001707813,0.36435899999924004
20,0.0042489999996178085,0.5053719999996247
30,0.0060790000006818445,0.6179250000004686
45,0.009113000000070315,0.686717000000499
60,0.012221000000863569,0.7742349999989528
80,0.014376000000993372,0.8812339999985852
100,0.0198709999986022,1.4444020000009914
